Packet 321: delay_time=259ms, response=PSTART 27-02-2023 20:11:13 PSTOP
Packet 322: delay_time=247ms, response=PSTART 27-02-2023 20:11:14 PSTOP
Packet 323: delay_time=243ms, response=PSTART 27-02-2023 20:11:14 PSTOP
Packet 324: delay_time=242ms, response=PSTART 27-02-2023 20:11:14 PSTOP
Packet 325: delay_time=251ms, response=PSTART 27-02-2023 20:11:14 PSTOP
Packet 326: delay_time=260ms, response=PSTART 27-02-2023 20:11:15 PSTOP
Packet 327: delay_time=252ms, response=PSTART 27-02-2023 20:11:15 PSTOP
Packet 328: delay_time=250ms, response=PSTART 27-02-2023 20:11:15 PSTOP
Packet 329: delay_time=248ms, response=PSTART 27-02-2023 20:11:15 PSTOP
Packet 330: delay_time=245ms, response=PSTART 27-02-2023 20:11:16 PSTOP
Packet 331: delay_time=242ms, response=PSTART 27-02-2023 20:11:16 PSTOP
Packet 332: delay_time=256ms, response=PSTART 27-02-2023 20:11:16 PSTOP
Packet 333: delay_time=249ms, response=PSTART 27-02-2023 20:11:16 PSTOP
Packet 334: delay_time=253ms, response=PSTART 27-02-2023 20:11:17 PSTOP
Packet 335: delay_time=245ms, response=PSTART 27-02-2023 20:11:17 PSTOP
Packet 336: delay_time=247ms, response=PSTART 27-02-2023 20:11:17 PSTOP
Packet 337: delay_time=247ms, response=PSTART 27-02-2023 20:11:17 PSTOP
Packet 338: delay_time=240ms, response=PSTART 27-02-2023 20:11:18 PSTOP
Packet 339: delay_time=259ms, response=PSTART 27-02-2023 20:11:18 PSTOP
Packet 340: delay_time=244ms, response=PSTART 27-02-2023 20:11:18 PSTOP
Packet 341: delay_time=249ms, response=PSTART 27-02-2023 20:11:18 PSTOP
